SurveyCode,SeasonalCode,AreaCode,StateCode,CountyCode,Year,Period,LaborForce,Employment,Unemployment,UnemploymentRate
LA,U,CN5100100000000,51,1,1990,M01,"14,423","13,227","1,196",8.3
LA,U,CN5100100000000,51,1,1990,M02,"14,388","13,203","1,185",8.2
LA,U,CN5100100000000,51,1,1990,M03,"14,596","13,593","1,003",6.9
LA,U,CN5100100000000,51,1,1990,M04,"14,752","13,956",796,5.4
LA,U,CN5100100000000,51,1,1990,M05,"15,151","14,468",683,4.5
LA,U,CN5100100000000,51,1,1990,M06,"15,645","15,057",588,3.8
LA,U,CN5100100000000,51,1,1990,M07,"15,951","15,465",486,3
LA,U,CN5100100000000,51,1,1990,M08,"15,950","15,138",812,5.1
LA,U,CN5100100000000,51,1,1990,M09,"15,541","14,771",770,5
LA,U,CN5100100000000,51,1,1990,M10,"14,766","14,170",596,4
LA,U,CN5100100000000,51,1,1990,M11,"14,645","13,853",792,5.4
LA,U,CN5100100000000,51,1,1990,M12,"14,487","13,569",918,6.3
LA,U,CN5100100000000,51,1,1990,M13,"15,025","14,206",819,5.5
LA,U,CN5100300000000,51,3,1990,M01,"34,180","33,599",581,1.7
LA,U,CN5100300000000,51,3,1990,M02,"34,861","34,169",692,2
LA,U,CN5100300000000,51,3,1990,M03,"35,241","34,665",576,1.6
LA,U,CN5100300000000,51,3,1990,M04,"35,497","34,960",537,1.5
LA,U,CN5100300000000,51,3,1990,M05,"35,281","34,630",651,1.8
LA,U,CN5100300000000,51,3,1990,M06,"35,120","34,313",807,2.3
LA,U,CN5100300000000,51,3,1990,M07,"34,911","34,236",675,1.9
LA,U,CN5100300000000,51,3,1990,M08,"34,483","33,581",902,2.6
LA,U,CN5100300000000,51,3,1990,M09,"34,807","33,935",872,2.5
LA,U,CN5100300000000,51,3,1990,M10,"34,966","34,187",779,2.2
LA,U,CN5100300000000,51,3,1990,M11,"35,085","34,167",918,2.6
LA,U,CN5100300000000,51,3,1990,M12,"34,925","34,030",895,2.6
LA,U,CN5100300000000,51,3,1990,M13,"34,946","34,206",740,2.1
LA,U,CN5100500000000,51,5,1990,M01,"8,440","7,706",734,8.7
LA,U,CN5100500000000,51,5,1990,M02,"8,389","7,680",709,8.5
LA,U,CN5100500000000,51,5,1990,M03,"8,526","7,858",668,7.8
LA,U,CN5100500000000,51,5,1990,M04,"8,333","7,839",494,5.9
LA,U,CN5100500000000,51,5,1990,M05,"8,421","7,913",508,6
LA,U,CN5100500000000,51,5,1990,M06,"8,648","8,027",621,7.2
LA,U,CN5100500000000,51,5,1990,M07,"8,797","8,114",683,7.8
LA,U,CN5100500000000,51,5,1990,M08,"8,855","8,026",829,9.4
LA,U,CN5100500000000,51,5,1990,M09,"8,397","7,810",587,7
LA,U,CN5100500000000,51,5,1990,M10,"8,488","7,826",662,7.8
LA,U,CN5100500000000,51,5,1990,M11,"8,564","7,800",764,8.9
LA,U,CN5100500000000,51,5,1990,M12,"8,685","7,906",779,9
LA,U,CN5100500000000,51,5,1990,M13,"8,545","7,875",670,7.8
LA,U,CN5100700000000,51,7,1990,M01,"4,148","4,003",145,3.5
LA,U,CN5100700000000,51,7,1990,M02,"4,175","4,050",125,3
LA,U,CN5100700000000,51,7,1990,M03,"4,306","4,154",152,3.5
LA,U,CN5100700000000,51,7,1990,M04,"4,272","4,145",127,3
LA,U,CN5100700000000,51,7,1990,M05,"4,356","4,160",196,4.5
LA,U,CN5100700000000,51,7,1990,M06,"4,400","4,240",160,3.6
LA,U,CN5100700000000,51,7,1990,M07,"4,369","4,223",146,3.3
LA,U,CN5100700000000,51,7,1990,M08,"4,282","4,122",160,3.7
LA,U,CN5100700000000,51,7,1990,M09,"4,261","4,107",154,3.6
LA,U,CN5100700000000,51,7,1990,M10,"4,363","4,216",147,3.4
LA,U,CN5100700000000,51,7,1990,M11,"4,332","4,173",159,3.7
LA,U,CN5100700000000,51,7,1990,M12,"4,348","4,191",157,3.6
LA,U,CN5100700000000,51,7,1990,M13,"4,301","4,149",152,3.5
LA,U,CN5100900000000,51,9,1990,M01,"14,138","13,371",767,5.4
LA,U,CN5100900000000,51,9,1990,M02,"14,102","13,366",736,5.2
LA,U,CN5100900000000,51,9,1990,M03,"14,211","13,517",694,4.9
LA,U,CN5100900000000,51,9,1990,M04,"14,194","13,607",587,4.1
